president_name,speech_title,speech_date,speech_duration
Grover Cleveland,Announcing the Continuation of US Neutrality,"July 27, 1896",564
Lyndon B. Johnson,Report on the Situation in the Dominican Republic,"May 02, 1965",2634
George Washington,Second Inaugural Address,"March 04, 1793",134
Barack Obama,2011 State of the Union Address,"January 25, 2011",7030
Herbert Hoover,Statement on Foreign Debts,"June 21, 1931",867
Joe Biden,Address before the 79th United Nations General Assembly,"September 24, 2024",3228
Andrew Johnson,Message Regarding Reconstruction Legislation,"July 19, 1867",4620
Andrew Jackson,Addendum to the Protest of Senate Censure,"April 21, 1834",455
Lyndon B. Johnson,State of the Union,"January 08, 1964",3177
Jimmy Carter,President Carter's Remarks on Joint Statement at Camp David Summit,"September 17, 1978",746
Barack Obama,Farewell Address to the Nation,"January 10, 2017",4796
Barack Obama,Nominee Acceptance Speech at 2012 Democratic National Convention,"September 06, 2012",4664
Thomas Jefferson,Fifth Annual Message,"December 03, 1805",2888
Ulysses S. Grant,Message Regarding Unification of Germany,"February 07, 1871",557
Ronald Reagan,Remarks on the Air Traffic Controllers Strike,"August 03, 1981",2445
Woodrow Wilson,Message on Neutrality,"August 19, 1914",629
James Buchanan,Inaugural Address,"March 04, 1857",2605
Franklin D. Roosevelt,Fireside Chat 30: Opening Fifth War Loan Drive,"June 12, 1944",1664
George W. Bush,Address on the Start of the Iraq War,"March 19, 2003",581
John F. Kennedy,Report to the American People on Returning from Europe,"June 06, 1961",6356
John Tyler,Message Regarding Indian Affairs in Florida,"May 10, 1842",694
Donald Trump,State of the Union Address,"February 05, 2019",5144
Ronald Reagan,Address at University of Notre Dame,"May 17, 1981",3225
Ulysses S. Grant,First Inaugural Address,"March 04, 1869",1123
Thomas Jefferson,Proclamation in Response to the Chesapeake Affair,"July 02, 1807",1170
George W. Bush,State of the Union Address,"January 20, 2004",5164
Franklin D. Roosevelt,Fireside Chat 18: On The Greer Incident,"September 11, 1941",3082
Abraham Lincoln,Cooper Union Address,"February 27, 1860",13652
James K. Polk,War Message to Congress,"May 11, 1846",2973
John F. Kennedy,Remarks on the Youth Fitness Program,"February 21, 1961",964
William McKinley,First Inaugural Address,"March 04, 1897",3646
Donald Trump,Message After Pro-Trump Mob Overruns US Capitol,"January 07, 2021",364
George Washington,Thanksgiving Proclamation,"October 03, 1789",434
Ronald Reagan,Address to the Nation on Iran-Contra,"March 04, 1987",1883
Lyndon B. Johnson,Press Conference at the White House,"March 13, 1965",3896
Theodore Roosevelt,Second Annual Message,"December 02, 1902",9758
Andrew Johnson,Message Restoring Tennessee to Former Status,"July 24, 1866",1287
Franklin D. Roosevelt,Fireside Chat 5: On Addressing the Critics,"June 28, 1934",2527
Barack Obama,Address on the End of the Combat Mission in Iraq,"August 31, 2010",2576
Lyndon B. Johnson,Remarks at the University of Michigan,"May 22, 1964",1810
Andrew Jackson,Veto Message Regarding Funding of Infrastructure Development,"May 27, 1830",5478
John Adams,Third Annual Message,"December 03, 1799",1494
Ronald Reagan,Address on the Meetings with Soviet Premier Gorbachev,"October 13, 1986",2917
Woodrow Wilson,Proclamation 1364,"April 06, 1917",1537
Jimmy Carter,Debate with President Gerald Ford,"October 22, 1976",12921
Rutherford B. Hayes,Second Annual Message,"December 02, 1878",7878
Bill Clinton,State of the Union Address,"January 23, 1996",6323
James K. Polk,Announcement of Peace Treaty with Mexico,"July 04, 1848",240
Franklin Pierce,Inaugural Address,"March 04, 1853",3066
Harry S. Truman,Navy Day Address,"October 27, 1945",2569
William Taft,Message Regarding Economic Legislation,"January 07, 1910",8183
George H. W. Bush,State of the Union Address,"January 29, 1991",3918
Grover Cleveland,Message Regarding Hawaiian Annexation,"December 18, 1893",6188
Lyndon B. Johnson,Press Conference,"April 03, 1968",420
Calvin Coolidge,Message Regarding Relationship of Church and State,"October 20, 1925",2406
John F. Kennedy,Address on the Situation at the University of Mississippi,"September 30, 1962",1134
James Madison,Veto Act on Incorporating the Alexandria Protestant Episcopal Church,"February 21, 1811",336
Bill Clinton,Remarks at the Signing of the Family Medical Leave Act,"February 05, 1993",1045
Theodore Roosevelt,Seventh Annual Message,"December 03, 1907",27378
Lyndon B. Johnson,State of the Union Address,"January 14, 1969",8184
Benjamin Harrison,Statement at the International American Conference,"April 19, 1890",206
Warren G. Harding,America,"August 28, 1920",353
James Madison,Veto Message on the National Bank,"January 30, 1815",1279
Abraham Lincoln,Gettysburg Address,"November 19, 1863",264
Warren G. Harding,Americanism,"January 20, 1920",488
Ronald Reagan,40th Anniversary of D-Day,"June 06, 1984",1838
